id,name,sex
HP,Harry Potter,1
LP,Lily Potter,2
JP,James Potter,1
AD,Albus Dumbledore ,1
RW,Ron Weasly ,1
HG,Hermine Granger,2
PD,Petunia Dursley,2
SB,Sirius Black ,1
CD,Cedric Diggory,1
SS,Severus Snape,1
